drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
CVWXJKQAOSCOAB,OLAHOMJCDNXHFI,Quizartinib,Erdafitinib,CVWXJKQAOSCOAB::OLAHOMJCDNXHFI,0,,,,
LEBVLXFERQHONN,QYKIQEUNHZKYBP,Bupivacaine,Vinyl ether,LEBVLXFERQHONN::QYKIQEUNHZKYBP,0,,,,
PHWBOXQYWZNQIN,YFGHCGITMMYXAQ,Ticlopidine,Armodafinil,PHWBOXQYWZNQIN::YFGHCGITMMYXAQ,0,,,,
RZPAKFUAFGMUPI,YTJIBEDMAQUYSZ,Oleandomycin,Cloprednol,RZPAKFUAFGMUPI::YTJIBEDMAQUYSZ,0,,,,
UVOIBTBFPOZKGP,WZHCOOQXZCIUNC,Propiomazine,Cyclandelate,UVOIBTBFPOZKGP::WZHCOOQXZCIUNC,0,,,,
RQTOOFIXOKYGAN,UOZODPSAJZTQNH,Nedocromil,Paromomycin,RQTOOFIXOKYGAN::UOZODPSAJZTQNH,0,,,,
QFJCIRLUMZQUOT,TULGGJGJQXESOO,Sirolimus,Laniquidar,QFJCIRLUMZQUOT::TULGGJGJQXESOO,0,,,,
KCFYEAOKVJSACF,ZBVKEHDGYSLCCC,Umifenovir,Seratrodast,KCFYEAOKVJSACF::ZBVKEHDGYSLCCC,0,,,,
CJOFXWAVKWHTFT,QAOWNCQODCNURD,Fluvoxamine,Aluminum sulfate,CJOFXWAVKWHTFT::QAOWNCQODCNURD,2,,,,
SKZKKFZAGNVIMN,UXOWGYHJODZGMF,Salicylamide,Aliskiren,SKZKKFZAGNVIMN::UXOWGYHJODZGMF,0,,,,
HGVDHZBSSITLCT,PHIQHXFUZVPYII,Edoxaban,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,HGVDHZBSSITLCT::PHIQHXFUZVPYII,15,,,,
DBEPLOCGEIEOCV,DQMZLTXERSFNPB,Finasteride,Primidone,DBEPLOCGEIEOCV::DQMZLTXERSFNPB,127,727098.75,46145.99242738103,1,14550837
JHFNIHVVXRKLEF,WYUSVOMTXWRGEK,Ceftolozane,Cefpodoxime,JHFNIHVVXRKLEF::WYUSVOMTXWRGEK,1,,,,
KYYIDSXMWOZKMP,QUIJNHUBAXPXFS,Desvenlafaxine,Bedaquiline,KYYIDSXMWOZKMP::QUIJNHUBAXPXFS,0,,,,
OEHFRZLKGRKFAS,QNZCBYKSOIHPEH,Droxicam,Apixaban,OEHFRZLKGRKFAS::QNZCBYKSOIHPEH,0,,,,
UORJNBVJVRLXMQ,YJYPHIXNFHFHND,Aprobarbital,Agomelatine,UORJNBVJVRLXMQ::YJYPHIXNFHFHND,0,,,,
LRCXRAABFLIVAI,QJFSABGVXDWMIW,Norfenefrine,Azilsartan medoxomil,LRCXRAABFLIVAI::QJFSABGVXDWMIW,0,,,,
GDYUVHBMFVMBAF,GUHPRPJDBZHYCJ,Oxyfedrine,Tiaprofenic acid,GDYUVHBMFVMBAF::GUHPRPJDBZHYCJ,0,,,,
GYNNRVJJLAVVTQ,YBSJFWOBGCMAKL,Cloricromen,Dabigatran,GYNNRVJJLAVVTQ::YBSJFWOBGCMAKL,0,,,,
MFWNKCLOYSRHCJ,VXMOONUMYLCFJD,Granisetron,Barnidipine,MFWNKCLOYSRHCJ::VXMOONUMYLCFJD,0,,,,
SGOIRFVFHAKUTI,TYZROVQLWOKYKF,Tenofovir,Linezolid,SGOIRFVFHAKUTI::TYZROVQLWOKYKF,106,,,,
DYEFUKCXAQOFHX,YPHDIMUXXABSSO,Ebselen,PF-00610355,DYEFUKCXAQOFHX::YPHDIMUXXABSSO,0,,,,
KZUIYQJTUIACIG,VHVPQPYKVGDNFY,Nomegestrol,Itraconazole,KZUIYQJTUIACIG::VHVPQPYKVGDNFY,0,,,,
XLYOFNOQVPJJNP,XUZMWHLSFXCVMG,Aluminum chlorohydrate,Baricitinib,XLYOFNOQVPJJNP::XUZMWHLSFXCVMG,1,,,,
ONIQOQHATWINJY,RDOIQAHITMMDAJ,Cabozantinib,Loperamide,ONIQOQHATWINJY::RDOIQAHITMMDAJ,140,,,,
SJOXEWUZWQYCGL,SSQPWTVBQMWLSZ,Menthyl salicylate,Icosapent ethyl,SJOXEWUZWQYCGL::SSQPWTVBQMWLSZ,0,,,,
OPNPQXLQERQBBV,PWAJCNITSBZRBL,Carbromal,Ketazolam,OPNPQXLQERQBBV::PWAJCNITSBZRBL,0,,,,
FSQKKOOTNAMONP,PDMMFKSKQVNJMI,Acemetacin,Testosterone propionate,FSQKKOOTNAMONP::PDMMFKSKQVNJMI,0,,,,
